id,title,location,location_status,status,year,area,bathrooms,bedrooms,heating_type,energy_class,price
W-02Q9YN,Acogedor piso alto y luminoso en Eixample ,Eixample  Fort Pienc ,Excelente,Regular,1929,37m²,1,2,,E,220.000EUR
W-02QHSV,Fantástico piso familiar ,Sants - Montjuïc  SantS ,Muybien,Bien,1980,122m²,2,4,Gas,E,540.000EUR
W-02QKT5,Espectacular piso de diseño en Gràcia ,Gracia  Vila de Gracia ,,Excelente,1975,89m²,2,3,Gas,E,450.000EUR
W-02QLZX,Bonita y cómoda planta baja-dúplex sin cédula ,Ciutat Vella  Born-Ribera ,Muybien,Muybien,1936,60m²,2,1,,,190.000EUR
W-02QKD8,Piso reformado con terraza junto calle Escorial ,Gracia  Gracia Nova ,Excelente,Excelente,1960,166m²,2,4,Gas,,770.000EUR
W-02OIBA,Fantástico dúplex en Tiana ,Maresme  Tiana ,Bien,Bien,2008,133m²,3,3,Central,G,470.000EUR
W-02QGA3,Dúplex familiar cerca del mar en Barceloneta ,Ciutat Vella  Barceloneta ,,,1988,117m²,2,3,,,430.000EUR
W-02QJ3R,Excelente piso cerca de Francesc Macià ,Eixample  Eixample Esquerra ,Excelente,,1965,79m²,1,3,Gas,E,475.000EUR
W-02QFDQ,Piso a estrenar junto a Plaça Francesc Macia ,Eixample  Eixample Esquerra ,Excelente,Excelente,1947,124m²,2,3,Gas,F,660.000EUR
W-02QNBA,Piso de diseño a metros de Passeig de Gràcia ,Eixample  Eixample Dreta ,Excelente,Excelente,1900,115m²,2,3,Calefaccióncentralizada,F,799.000EUR
W-02QK16,Acogedor y céntrico piso en Manresa ,Bagés- Manresa  MANRESA ,Muybien,,1997,67m²,1,2,Gas,E,120.000EUR
W-02QDTS,Piso reformado al lado de Passeig de Gràcia ,Eixample  Eixample Dreta ,Excelente,Excelente,1880,114m²,2,3,Bombadecalor,E,799.000EUR
W-02QJMA,Piso en Les Corts con parking ,Les Corts  Les corts ,Muybien,Muybien,1998,129m²,2,4,Bombadecalor,,690.000EUR
W-02H61K,Piso familiar con terraza a reformar en Gràcia ,Gracia  Vila de Gracia ,Excelente,Regular,1991,170m²,3,5,Gas,,890.000EUR
W-02QMDL,Exclusivo piso amueblado en Mallorca ,Eixample  Eixample Esquerra ,Excelente,Excelente,1990,110m²,2,2,Gas,E,680.000EUR
W-02QMRO,Piso de obra nueva en Badalona ,Badalona  Front Marítim ,Excelente,Excelente,,108m²,2,3,Pellets,A,755.000EUR
W-02QMRK,Piso de obra nueva en Badalona ,Badalona  Front Marítim ,Excelente,Excelente,2023,110m²,2,3,Sueloradiante,A,661.000EUR
W-02Q7JG,Espectacular piso con terraza en Barri Gòtic ,Ciutat Vella  Gòtic ,Excelente,Muybien,1850,71m²,1,1,Bombadecalor,E,440.000EUR
W-02QMRJ,Piso de obra nueva en Badalona ,Badalona  Front Marítim ,Excelente,Excelente,2023,110m²,2,3,Sueloradiante,A,650.000EUR
W-02QMRI,Piso de obra nueva en Badalona ,Badalona  Front Marítim ,Excelente,Excelente,2023,110m²,2,3,Sueloradiante,A,640.000EUR
W-02QMAU,Fantástico piso cerca de Plaza de España ,Sants - Montjuïc  Poble Sec ,Excelente,Muybien,1974,76m²,1,2,Bombadecalor,E,330.000EUR
W-02QMRH,Piso de obra nueva en Badalona ,Badalona  Front Marítim ,Excelente,Excelente,2023,110m²,2,3,Sueloradiante,A,619.000EUR
W-02QMRF,Piso de obra nueva en Badalona ,Badalona  Front Marítim ,Excelente,Excelente,2023,110m²,2,3,Sueloradiante,A,598.000EUR
W-02QMRD,Piso de obra nueva en Badalona ,Badalona  Front Marítim ,Excelente,Excelente,2023,110m²,2,3,Sueloradiante,A,577.000EUR
W-02QMRC,Piso de obra nueva en Badalona ,Badalona  Front Marítim ,Excelente,Excelente,2023,110m²,2,3,Sueloradiante,A,556.000EUR
W-02QL5C,Precioso piso reformado en Poble Sec ,Sants - Montjuïc  Poble Sec ,Excelente,Excelente,1879,55m²,1,2,,E,255.000EUR
W-02QHWC,Precioso piso con elementos originales en Eixample ,Eixample  Eixample Dreta ,Excelente,Muybien,1900,144m²,2,3,Gas,E,795.000EUR
W-02MIE0,Ático dúplex con terrazas en Rambla Catalunya ,Eixample  Eixample Dreta ,Excelente,Excelente,1895,222m²,3,3,Gas,F,1.850.000EUR
W-02QIZH,Ático luminoso con gran terraza en venta ,Sant Adrià de Besòs ,Muybien,Excelente,2005,104m²,2,3,Bombadecalor,G,455.000EUR
W-02QJBL,Ático dúplex en eixample cerca centro de Mataró ,Maresme  Mataró ,Bien,Bien,2004,93m²,2,3,CorrienteEléctricaBombadecalor,F,249.000EUR
W-02QG2N,Piso con licencia turistica en calle Mercader ,Hospitalet  Collblanc ,Bien,Bien,1950,65m²,1,3,,E,340.000EUR
W-02Q3Q5,Piso familiar gran terraza L´Hospitalet - Igualtat ,Hospitalet  Santa Eulalia ,Muybien,Muybien,1992,112m²,2,4,Gas,E,515.000EUR
W-02QFRI,Luminoso piso familiar en la Sagrera ,Sagrera ,Excelente,Excelente,1980,94m²,2,4,Gas,F,399.000EUR
W-02QJHE,Ático con vistas a la montaña en El Coll ,Gracia  El Coll ,Excelente,Muybien,1965,110m²,2,3,Gas,F,380.000EUR
W-02QGTC,Piso alto en Sagrada Família ,Eixample  Sagrada Familia ,Excelente,Regular,1970,82m²,1,3,,E,350.000EUR
W-02O6JI,Piso único con terraza a reformar en Eixample ,Eixample  Eixample Dreta ,Excelente,Necesitarestauración,1936,545m²,2,5,Gas,,3.200.000EUR
W-02QHTM,Piso alto standing en Les Corts - Entença ,Les Corts  Les corts ,Excelente,Excelente,1990,156m²,2,4,Gas,E,990.000EUR
W-02Q254,Espectacular piso con elementos originales en Eixample ,Eixample  Eixample Dreta ,Excelente,Excelente,1900,185m²,3,4,Gas,D,1.190.000EUR
W-02P6LM,Espectacular ático en edificio de 1769 ,Ciutat Vella  Gòtic ,Excelente,Excelente,1769,179m²,3,3,,C,2.500.000EUR
W-02Q9Y7,Excelente piso en el centro de Sant Feliu de Llobregat ,Sant Feliu De LLobregat ,,Excelente,,70m²,1,2,Central,,272.000EUR
W-02PYUB,Magnífica propiedad con bonitas vistas ,SANT MARTIN  El Parc i La Llacuna del Poblenou ,Excelente,Excelente,1975,100m²,2,4,Gas,E,425.000EUR
W-02QBIA,Impecable Piso con todas las comodidades. ,Sant Feliu De LLobregat ,,,,102m²,2,3,Gas,,467.000EUR
W-02QITU,Oportunidad en Casagemes ,Badalona  Badalona ,Muybien,Necesitarenovaciones,1975,96m²,2,3,,D,275.000EUR
W-02QH4E,Fantástico piso a actualizar en Gràcia ,Gracia  Vila de Gracia ,,,,97m²,1,3,,E,395.000EUR
W-02QL2C,Luminoso piso de 2 dormitorios con balcón ,Maresme  Montgat ,Excelente,Excelente,2022,83m²,2,2,Sueloradiante,A,440.000EUR
W-02QL1Z,Luminoso piso de 2 dormitorios con balcón ,Maresme  Montgat ,Excelente,Excelente,2022,83m²,2,2,Sueloradiante,A,440.000EUR
W-02QL1D,Piso de obra nueva con terraza cerca del mar ,Maresme  Montgat ,Excelente,Excelente,2022,83m²,2,2,Sueloradiante,A,360.000EUR
W-02QHTZ,Piso de obra nueva con terraza cerca del mar ,Maresme  Montgat ,Excelente,Excelente,2022,83m²,2,2,Sueloradiante,A,355.000EUR
W-02O4HT,Espectacular ático reformado a estrenar cerca L’Illa ,Les Corts  Les corts ,Excelente,Excelente,1944,60m²,1,2,,F,340.000EUR
W-02QEZW,Loft próximo a Avinguda Diagonal ,Gracia  Vila de Gracia ,Excelente,Muybien,1895,30m²,1,1,,E,215.000EUR
W-02OMIC,Exclusivo y lujoso piso único en el Born ,Ciutat Vella  Born-Ribera ,Excelente,Excelente,,200m²,2,4,Gas,E,1.180.000EUR
W-02OXL5,Impresionante piso en Calle Floridablanca ,Eixample  Sant Antoni ,Excelente,,1930,117m²,2,3,Central,E,670.000EUR
W-02QITC,Precioso piso en la Dreta de l'Eixample ,Eixample  Eixample Dreta ,,,,87m²,1,3,,E,395.000EUR
W-02Q52L,Amplio piso con balcón en el centro ,Sant Just - Esplugues  Esplugues - Otras ,Excelente,Necesitarestauración,1968,93m²,1,3,Gas,E,298.500EUR
W-02QEET,Piso para invertir en les Corts ,Les Corts  Maternitat ,,,1970,66m²,2,3,Gas,,269.000EUR
W-02QGR7,Piso a reformar con mucha luz natural ,Sant Just - Esplugues  Esplugues - Otras ,Muybien,Necesitarenovaciones,1973,106m²,1,4,Gas,E,279.000EUR
W-02P05R,Precioso piso esquinero en Galvany ,Sant Gervasi  Galvany ,Excelente,Muybien,1948,186m²,3,4,Gas,E,1.030.000EUR
W-02Q4D9,Exclusivo piso en Finestrelles ,Sant Just - Esplugues  Esplugues - Finestrelles ,Excelente,Muybien,1976,154m²,2,3,Gas,E,950.000EUR
W-02QDJK,Apartamento de diseño con piscina comunitaria ,Ciutat Vella  Born-Ribera ,Excelente,Excelente,1900,109m²,3,2,,E,660.000EUR
W-02PUWS,Acogedor y luminoso piso a escasos metros del centro de Sant Feliu ,Sant Feliu De LLobregat ,Bien,Bien,1973,68m²,1,3,Bombadecalor,,172.000EUR
W-02QEYC,Amplio bajo en Sants ,Sants - Montjuïc  SantS ,,Bien,,102m²,1,4,,,218.000EUR
W-02QAH1,Piso de 4 balcones en Sant Antoni ,Eixample  Sant Antoni ,Excelente,Necesitarestauración,1925,117m²,2,3,,E,470.000EUR
W-02QATR,Acogedor piso en finca regia en Eixample ,Eixample  Eixample Esquerra ,Excelente,Bien,1930,87m²,1,3,Bombadecalor,D,670.000EUR
W-02QJQG,Dúplex con terraza en Sant Feliu de Llobregat ,Sant Feliu De LLobregat ,Excelente,Excelente,2023,134m²,2,3,CorrienteEléctrica,A,595.000EUR
W-02OM4J,Bajo con jardín en Sant Feliu de Llobregat ,Sant Feliu De LLobregat ,Excelente,Excelente,2023,87m²,2,2,CorrienteEléctrica,A,485.000EUR
W-02Q4V8,Bonito piso a estrenar al lado de Plaça del Pi ,Ciutat Vella  Gòtic ,Excelente,Excelente,1850,120m²,2,3,CorrienteEléctrica,E,795.000EUR
W-02QGTE,Gran piso a reformar en Eixample Dret ,Eixample  Eixample Dreta ,Muybien,Necesitarestauración,1900,140m²,2,5,,E,750.000EUR
W-02QGTG,Gran piso a reformar en Eixample Dret ,Eixample  Eixample Dreta ,Muybien,Necesitarestauración,1900,140m²,2,5,,E,760.000EUR
W-02Q16I,Ático dúplex con mucha luz natural y vistas ,Sant Just - Esplugues  Esplugues - Otras ,Excelente,Muybien,2005,124m²,2,4,Gas,F,565.000EUR
W-02QFF2,Increíble ático con terraza en Eixample ,Eixample  Eixample Esquerra ,Excelente,Excelente,1940,100m²,2,2,BombadecalorGas,E,995.000EUR
W-02QF4D,Vivienda con gran terraza en Sant Gervasi ,Sant Gervasi  Putget ,Muybien,Excelente,1962,129m²,2,3,Gas,E,890.000EUR
W-02QGJ4,Piso para entrar y con vistas al Mar ,Maresme  Canet de Mar ,Excelente,Excelente,1976,84m²,1,3,Bombadecalor,E,228.000EUR
W-02P2KM,Gran piso cerca de Las Ramblas y del Mar ,Ciutat Vella  raval ,,,2006,110m²,2,3,Gas,,460.000EUR
W-02QIUD,Piso en primera planta en Rambla Catalunya ,Eixample  Eixample Esquerra ,Excelente,Excelente,1880,92m²,1,2,Central,C,1.150.000EUR
W-02QIUC,Piso de una habitación en Rambla Catalunya ,Eixample  Eixample Esquerra ,Excelente,Excelente,1880,61m²,1,1,Central,C,770.000EUR
W-02QIU8,Nuevo piso principal en Rambla Catalunya ,Eixample  Eixample Esquerra ,Excelente,Excelente,1880,169m²,3,2,Calefaccióncentralizada,C,1.850.000EUR
W-02FRC5,Nuevo piso principal en Rambla Catalunya ,Eixample  Eixample Esquerra ,Excelente,Excelente,1880,139m²,3,2,CentralCalefaccióncentralizada,C,1.620.000EUR
W-02QEEZ,Planta baja dúplex con terraza en Maragall ,Horta Guinardó  Baix Guinardó ,,Excelente,2022,120m²,2,2,Pellets,B,600.000EUR
W-02QEB5,Luminoso piso en Passeig de Maragall ,Horta Guinardó  Baix Guinardó ,,Excelente,2022,116m²,2,4,Pellets,B,700.000EUR
W-02QASR,Piso de cuatro habitaciones en Maragall ,Horta Guinardó  Baix Guinardó ,,Excelente,2022,116m²,2,4,Pellets,B,690.000EUR
W-02Q9DV,Atico en primera línea de mar en Vilassar ,Maresme  Vilassar de Mar ,Excelente,Muybien,1973,146m²,2,4,Gas,,580.000EUR
W-02QAN9,Piso de cuatro habitaciones en Maragall ,Horta Guinardó  Baix Guinardó ,,Excelente,2022,116m²,2,4,Pellets,B,685.000EUR
W-02QASQ,Piso de cuatro habitaciones en Maragall ,Horta Guinardó  Baix Guinardó ,,Excelente,2022,116m²,2,4,Pellets,B,680.000EUR
W-02QGAP,Piso reformado con terraza en Vila de Gràcia ,Gracia  Vila de Gracia ,,Excelente,1936,115m²,2,3,Gas,,725.000EUR
W-02PVN7,Magnifico piso en Vallcarca ,Gracia  Vallcarca- Penitents ,Muybien,Necesitarenovaciones,1965,183m²,2,5,,,685.000EUR
W-02QDFZ,Piso reformado con terraza en Vallcarca ,Gracia  Vallcarca- Penitents ,,Excelente,1972,90m²,2,2,BombadecalorGas,,597.000EUR
W-02QF78,Piso para estrenar con gran terraza en Bonanova ,Sant Gervasi  Bonanova ,Excelente,Excelente,1964,120m²,2,4,Gas,E,850.000EUR
W-02Q22F,Piso con piscina y vistas amplias en Provençals ,SANT MARTIN  Provençals del Poblenou ,,,2015,89m²,2,3,,B,539.000EUR
W-02QAJI,Exclusivo ático con vistas y gran terraza ,Sant Just - Esplugues  Mas Llui ,Muybien,Muybien,1999,190m²,3,4,Gas,,700.000EUR
W-02QHZ6,Luminoso ático con terraza en Guinardó ,Horta Guinardó ,Excelente,Excelente,1969,75m²,1,1,Bombadecalor,G,490.000EUR
W-02ME1B,Piso con bonitas vistas en el Turó de la Peira ,Nou Barris ,Bien,Bien,1973,76m²,1,3,Gas,F,265.000EUR
W-02Q9B4,Apartamento en finca reformada en el Gótico ,Ciutat Vella  Gòtic ,Excelente,Excelente,1910,79m²,2,3,Bombadecalor,D,770.000EUR
W-02Q9B2,Apartamento en finca reformada en el Gótico ,Ciutat Vella  Gòtic ,Excelente,Excelente,1910,79m²,2,3,Bombadecalor,D,740.000EUR
